ts_ms,collection,dataset,story_id,question_id,question_hash,question,true_answer,predicted_answer,requested_variant,routed_variant,routed_by,retrieval_k,local_retrieval_ms,grpc_elapsed_ms,router_retrieval_ms,inference_ms,end_to_end_ms,prompt_chars,context_chars,answer_chars,exact_match,answer_cosine_sim,type,level
1765930402260,pubmedqa,pubmedqa,,19066006::q121,510b4a9f7db8,Is continuous insulin treatment safe in aneurysmal subarachnoid hemorrhage?,"Concerning cerebral metabolism, long-term continuous insulin infusion appears to be safe as long as cerebral glucose levels do not fall below the physiological range. In view of the high incidence of hyperglycemia and need for insulin treatment, future studies on the effect of insulin on cerebral metabolism in SAH patients are desirable.",Yes,auto,mistral,dataset,8,633.82887840271,514.7829055786133,0.00403897138312459,78.4247929987032,78.43870899523608,75,1090,3,0,-0.04117272421717644,,
1765930402639,hotpotqa,hotpotqa,,5add57e35542992200553ac2,482b14288eca,What profession do Kōbō Abe and Agatha Christie share?,playwright,writer,auto,qwen2_5,dataset,8,76.03001594543457,288.0444526672363,0.00499701127409935,275.9877239877824,276.0069369978737,54,4550,6,0,0.5610366463661194,comparison,easy
1765930402790,pubmedqa,pubmedqa,,27018135::q413,a298770f98f8,Assessing vitamin D nutritional status: Is capillary blood adequate?,"Our study demonstrates excellent agreement with no evidence of a clinically important bias between venous and capillary serum 25OHD concentrations measured by LC/MS-MS over a wide range of values. Under those conditions, capillary blood is therefore adequate for the measurement of 25OHD.",Yes,auto,mistral,dataset,8,27.962446212768555,91.4921760559082,0.0037199934013187885,79.99253901652992,80.00235600047745,68,1064,3,0,-0.07019704580307007,,
1765930417116,narrativeqa,narrativeqa,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90::q288,51f8cbcc9dee,Who is Emily St. Aubert?,Emily St Aubert is a young french woman who became orphaned after her father died.A french orphan.,Emily St. Aubert,auto,mistral,dataset,8,13983.026266098022,273.8652229309082,0.005998008418828249,261.9085710030049,261.9231730059255,24,5793,16,0,0.7496398687362671,,
1765930417238,pubmedqa,pubmedqa,,14514505::q56,1fc6fcb7a60c,Are impairments of action monitoring and executive control true dissociative dysfunctions in patients with schizophrenia?,"This finding suggests that dysfunction of self-monitoring in schizophrenia does not necessarily reflect a general decline in cognitive function but is evidence of disproportionately pronounced impairment of action monitoring, which may be mediated by a distinct subsystem within the brain's executive attention networks.",Yes,auto,mistral,dataset,8,26.755094528198242,70.22666931152344,0.004628993337973952,61.9428789941594,61.95323998690583,121,809,3,0,0.030212461948394775,,
1765930417637,hotpotqa,hotpotqa,,5abffc58554299012d1db552,c63cee909f9b,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College,St. Olaf College,auto,qwen2_5,dataset,8,68.59540939331055,315.6437873840332,0.00515900319442153,304.84500600141473,304.8629029945005,113,5846,16,1,1.0,bridge,medium
1765930417770,pubmedqa,pubmedqa,,19289453::q522,c6ff6abea95f,Can clinicians recognize DSM-IV personality disorders from five-factor model descriptions of patient cases?,The FFM descriptors may be more ambiguous than the criteria of the DSM-IV and the FFM may therefore be less able to convey important clinical details than the DSM-IV. The findings flag challenges to clinical utility for dimensional-trait systems such as the FFM.,unknown,auto,mistral,dataset,8,19.325733184814453,76.5528678894043,0.0038470025174319744,67.6143329765182,67.62437400175259,107,1268,7,0,0.02393864467740059,,
1765930417912,pubmedqa,pubmedqa,,18836045::q194,e5c51308df03,Dog bites: still a problem?,"Dog bites continue to be a public health problem affecting 1.5% of the US population annually. Although comparison with similar data from 1994 suggests that bite rates for children are decreasing, there still appears to be a need for effective prevention programs.",Yes,auto,mistral,dataset,8,18.11695098876953,80.25169372558594,0.0031380041036754847,73.66430197726004,73.67172700469382,27,1294,3,0,-0.0015879274578765035,,
1765930418184,pubmedqa,pubmedqa,,19067087::q125,96fbb93ec8ba,Hospital discharge in the day following open Roux-en-Y gastric bypass: is it feasible and safe?,Short stay (1 day) following open gastric bypass was a feasible and safe procedure. This approach might have economic impact and might increase patient acceptance for open RYGBP.,"Yes, hospital discharge in the day following open Roux-en-Y gastric bypass is feasible for 90% of patients.",auto,mistral,dataset,8,21.211624145507812,231.22143745422363,0.003336986992508173,224.13637101999484,224.14366999873891,95,1341,107,0,0.6766454577445984,,
1765930418316,pubmedqa,pubmedqa,,19074238::q147,a5463e52c3b5,Are injuries spatially related?,This study demonstrates the added utility of integrating GIS technology into injury prevention research. Crucial information on the associated social and environmental influences of intentional injury patterns may be under-recognized if a spatial analysis is not also conducted. The join-count spatial autocorrelation is an ideal approach for investigating the interconnectedness of injury patterns that are rare and occur in only a small percentage of the population.,Yes,auto,mistral,dataset,8,17.178058624267578,90.08169174194336,0.003675988409668207,81.33536801324226,81.34327598963864,31,1892,3,0,-0.03180849924683571,,
1765930418425,pubmedqa,pubmedqa,,18855231::q253,26b963cdf402,Assessing change in clinical teaching skills: are we up for the challenge?,"It is possible to measure feedback skills in a clinical setting. Although traditional outcome measures show a significant effect, demonstrating change in teaching behaviors used in practice will require larger scale studies than typically undertaken currently.",Yes,auto,mistral,dataset,8,15.203714370727539,75.67214965820312,0.003095017746090889,65.3922260098625,65.3995169850532,74,1102,3,0,0.05449783802032471,,
1765930419613,narrativeqa,narrativeqa,01aa10d75658840a478ede17631dba875651c370,01aa10d75658840a478ede17631dba875651c370::q233,bc1a9de90dbd,Who is quoted in the Universal House of Justice?,Baha'u'llahBaha'u'llah.,Baha ’ u ’ llah,auto,mistral,dataset,8,756.948709487915,414.3648147583008,0.006538990419358015,403.22340998682193,403.24600698659196,48,11753,15,0,0.8600939512252808,,
1765930420052,hotpotqa,hotpotqa,,5ab6ef2f554299710c8d1fc5,53f089d38d79,What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,Suffolk County,"Suffolk County, New York",auto,qwen2_5,dataset,8,72.38960266113281,353.86085510253906,0.005473993951454759,345.1288649812341,345.1434629969299,141,6260,24,0,0.8952772617340088,bridge,medium
1765930420279,pubmedqa,pubmedqa,,18842505::q213,bb1ac93292f8,Late recurrence after surgery for cholangiocarcinoma: implications for follow-up?,Long-term follow-up after resection of cholangiocarcinoma is needed because late recurrence after 5 years occurs. The mortality rate between 5 and 10 years after resection of cholangiocarcinoma ranges from 6% to 43% in different series. Early detection of local recurrence may give an opportunity for further surgical resection.,Implications for follow-up suggest the need to differentiate a new primary and field change from recurrence of the previous tumor.,auto,mistral,dataset,8,20.5690860748291,189.03112411499023,0.0037930149119347334,180.73063500924036,180.73967300006188,81,927,130,0,0.42798101902008057,,
1765930420713,hotpotqa,hotpotqa,,5a7ccec9554299452d57ba72,05083081e321,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series?,F.E.A.R.,f. e. a. r.,auto,qwen2_5,dataset,8,67.35992431640625,353.4560203552246,0.005790003342553973,344.26832798635587,344.2802359932102,120,6150,11,0,1.0,bridge,medium
1765930421832,narrativeqa,narrativeqa,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90::q290,5b85a77625d1,What did Emily and her father  shared  appreciation for?,NatureNature,The miniature,auto,mistral,dataset,8,712.9826545715332,280.2238464355469,0.00554401776753366,271.53679699404165,271.55018801568076,56,6585,13,0,0.2585603892803192,,
1765930422051,pubmedqa,pubmedqa,,9298400::q299,ddc6ea9186b9,Do organic solvents induce changes in the dopaminergic system?,The data support the hypothesis that long-term exposure to organic solvents may increase the rate of dopamine synthesis in the brain without affecting the number of presynaptic terminals or postsynaptic dopamine receptors.,Yes,auto,mistral,dataset,8,19.72508430480957,89.38717842102051,0.003744004061445594,79.27268400089815,79.28256801096722,62,1313,3,0,0.015639828518033028,,
1765930423714,narrativeqa,narrativeqa,00ee9e01a0e581e0d8cbf7e865a895147c480c5e,00ee9e01a0e581e0d8cbf7e865a895147c480c5e::q122,c271e2fb9e95,Who is it that kills Carlito?,Ricky VenoraVerona,Verona,auto,mistral,dataset,8,1247.3680973052979,400.7248878479004,0.006193004082888365,389.14011901943013,389.15410300251096,29,9441,6,0,0.2278987169265747,,
