ts_ms,collection,dataset,story_id,question_id,question_hash,question,true_answer,predicted_answer,requested_variant,routed_variant,routed_by,retrieval_k,local_retrieval_ms,grpc_elapsed_ms,router_retrieval_ms,inference_ms,end_to_end_ms,prompt_chars,context_chars,answer_chars,exact_match,answer_cosine_sim,type,level
1765934559679,pubmedqa,pubmedqa,,19066006::q121,510b4a9f7db8,Is continuous insulin treatment safe in aneurysmal subarachnoid hemorrhage?,"Concerning cerebral metabolism, long-term continuous insulin infusion appears to be safe as long as cerebral glucose levels do not fall below the physiological range. In view of the high incidence of hyperglycemia and need for insulin treatment, future studies on the effect of insulin on cerebral metabolism in SAH patients are desirable.",Yes,auto,mistral,ml,8,32.58633613586426,2949.2502212524414,0.0042669998947530985,1897.8188969776966,1897.8307360084727,75,1090,3,0,-0.04117272421717644,,
1765934562047,hotpotqa,hotpotqa,,5add57e35542992200553ac2,482b14288eca,What profession do Kōbō Abe and Agatha Christie share?,playwright,writer,auto,qwen2_5,ml,8,62.935829162597656,2290.222644805908,0.00407799961976707,2275.391134986421,2275.406507018488,54,4550,6,0,0.5610366463661194,comparison,easy
1765934562164,pubmedqa,pubmedqa,,27018135::q413,a298770f98f8,Assessing vitamin D nutritional status: Is capillary blood adequate?,"Our study demonstrates excellent agreement with no evidence of a clinically important bias between venous and capillary serum 25OHD concentrations measured by LC/MS-MS over a wide range of values. Under those conditions, capillary blood is therefore adequate for the measurement of 25OHD.",Yes,auto,mistral,ml,8,13.003110885620117,89.86783027648926,0.004091998562216759,75.50115502090193,75.51320598577149,68,1064,3,0,-0.07019704580307007,,
1765934574713,narrativeqa,narrativeqa,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90::q288,51f8cbcc9dee,Who is Emily St. Aubert?,Emily St Aubert is a young french woman who became orphaned after her father died.A french orphan.,Emily,auto,llama3,ml,8,744.0521717071533,11690.107107162476,0.005745008820667863,11637.24147999892,11637.258200993529,24,5793,5,0,0.501497209072113,,
1765934574814,pubmedqa,pubmedqa,,14514505::q56,1fc6fcb7a60c,Are impairments of action monitoring and executive control true dissociative dysfunctions in patients with schizophrenia?,"This finding suggests that dysfunction of self-monitoring in schizophrenia does not necessarily reflect a general decline in cognitive function but is evidence of disproportionately pronounced impairment of action monitoring, which may be mediated by a distinct subsystem within the brain's executive attention networks.",Yes,auto,mistral,ml,8,17.41647720336914,69.27609443664551,0.005445996066555381,59.561706002568826,59.57422501523979,121,809,3,0,0.030212461948394775,,
1765934575346,hotpotqa,hotpotqa,,5abffc58554299012d1db552,c63cee909f9b,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College,St. Olaf College,auto,llama3,ml,8,65.83380699157715,301.7747402191162,0.004503002855926752,288.52950502187014,288.545098999748,113,5846,16,1,1.0,bridge,medium
1765934575504,pubmedqa,pubmedqa,,19289453::q522,c6ff6abea95f,Can clinicians recognize DSM-IV personality disorders from five-factor model descriptions of patient cases?,The FFM descriptors may be more ambiguous than the criteria of the DSM-IV and the FFM may therefore be less able to convey important clinical details than the DSM-IV. The findings flag challenges to clinical utility for dimensional-trait systems such as the FFM.,unknown,auto,mistral,ml,8,14.514923095703125,77.95548439025879,0.004227971658110619,66.26959500135854,66.28067602287047,107,1268,7,0,0.02393864467740059,,
1765934575612,pubmedqa,pubmedqa,,18836045::q194,e5c51308df03,Dog bites: still a problem?,"Dog bites continue to be a public health problem affecting 1.5% of the US population annually. Although comparison with similar data from 1994 suggests that bite rates for children are decreasing, there still appears to be a need for effective prevention programs.",Yes,auto,mistral,ml,8,11.832714080810547,83.5103988647461,0.0028190261218696833,74.17324499692768,74.18004499049857,27,1294,3,0,-0.0015879274578765035,,
1765934575879,pubmedqa,pubmedqa,,19067087::q125,96fbb93ec8ba,Hospital discharge in the day following open Roux-en-Y gastric bypass: is it feasible and safe?,Short stay (1 day) following open gastric bypass was a feasible and safe procedure. This approach might have economic impact and might increase patient acceptance for open RYGBP.,"Yes, hospital discharge in the day following open Roux-en-Y gastric bypass is feasible for 90% of patients.",auto,mistral,ml,8,13.16523551940918,237.71238327026367,0.0024279870558530092,224.22145400196314,224.22832800657488,95,1341,107,0,0.6766454577445984,,
1765934576112,pubmedqa,pubmedqa,,19074238::q147,a5463e52c3b5,Are injuries spatially related?,This study demonstrates the added utility of integrating GIS technology into injury prevention research. Crucial information on the associated social and environmental influences of intentional injury patterns may be under-recognized if a spatial analysis is not also conducted. The join-count spatial autocorrelation is an ideal approach for investigating the interconnectedness of injury patterns that are rare and occur in only a small percentage of the population.,yes,auto,qwen2_5,ml,8,15.069961547851562,176.743745803833,0.0037159770727157593,165.00528799952008,165.0154610106256,31,1892,3,0,-0.03180849924683571,,
1765934576212,pubmedqa,pubmedqa,,18855231::q253,26b963cdf402,Assessing change in clinical teaching skills: are we up for the challenge?,"It is possible to measure feedback skills in a clinical setting. Although traditional outcome measures show a significant effect, demonstrating change in teaching behaviors used in practice will require larger scale studies than typically undertaken currently.",Yes,auto,mistral,ml,8,11.684894561767578,74.78857040405273,0.0028640206437557936,64.51858597574756,64.52659302158281,74,1102,3,0,0.05449783802032471,,
1765934578877,narrativeqa,narrativeqa,01aa10d75658840a478ede17631dba875651c370,01aa10d75658840a478ede17631dba875651c370::q233,bc1a9de90dbd,Who is quoted in the Universal House of Justice?,Baha'u'llahBaha'u'llah.,Baha'u'llah,auto,llama3,ml,8,2151.508569717407,394.7734832763672,0.006415997631847858,381.04011499672197,381.05923900729977,48,11753,11,0,0.8719664812088013,,
1765934579279,hotpotqa,hotpotqa,,5ab6ef2f554299710c8d1fc5,53f089d38d79,What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,Suffolk County,Suffolk County,auto,llama3,ml,8,66.65802001953125,323.4224319458008,0.005129986675456166,308.9944069797639,309.0113110083621,141,6260,14,1,1.0,bridge,medium
1765934579501,pubmedqa,pubmedqa,,18842505::q213,bb1ac93292f8,Late recurrence after surgery for cholangiocarcinoma: implications for follow-up?,Long-term follow-up after resection of cholangiocarcinoma is needed because late recurrence after 5 years occurs. The mortality rate between 5 and 10 years after resection of cholangiocarcinoma ranges from 6% to 43% in different series. Early detection of local recurrence may give an opportunity for further surgical resection.,Implications for follow-up suggest the need to differentiate a new primary and field change from recurrence of the previous tumor.,auto,mistral,ml,8,16.35122299194336,187.17145919799805,0.003649009158834815,176.1254029988777,176.13406499731354,81,927,130,0,0.42798101902008057,,
1765934579915,hotpotqa,hotpotqa,,5a7ccec9554299452d57ba72,05083081e321,What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series?,F.E.A.R.,The F.E.A.R. series.,auto,llama3,ml,8,65.64950942993164,334.9013328552246,0.005117006367072463,323.7927519949153,323.806202999549,120,6150,20,0,0.6388141512870789,bridge,medium
1765934581167,narrativeqa,narrativeqa,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90,01f5ab49ace7ff6c2bca8c2e537076ae1f1b5c90::q290,5b85a77625d1,What did Emily and her father  shared  appreciation for?,NatureNature,unknown,auto,llama3,ml,8,733.3769798278809,306.83159828186035,0.0052480027079582214,296.3054639985785,296.31650197552517,56,6585,7,0,0.21149151027202606,,
1765934581291,pubmedqa,pubmedqa,,9298400::q299,ddc6ea9186b9,Do organic solvents induce changes in the dopaminergic system?,The data support the hypothesis that long-term exposure to organic solvents may increase the rate of dopamine synthesis in the brain without affecting the number of presynaptic terminals or postsynaptic dopamine receptors.,Yes,auto,mistral,ml,8,16.980648040771484,92.8494930267334,0.0048330111894756556,77.19760201871395,77.20932099618949,62,1313,3,0,0.015639828518033028,,
1765934582204,narrativeqa,narrativeqa,00ee9e01a0e581e0d8cbf7e865a895147c480c5e,00ee9e01a0e581e0d8cbf7e865a895147c480c5e::q122,c271e2fb9e95,Who is it that kills Carlito?,Ricky VenoraVerona,Verona,auto,llama3,ml,8,489.60351943969727,411.87262535095215,0.006761983968317509,398.54506199480966,398.5588689974975,29,9441,6,0,0.2278987169265747,,
1765934583056,narrativeqa,narrativeqa,00f9dbb0a851bc6099d5216e5fa8719b2ac3b82b,00f9dbb0a851bc6099d5216e5fa8719b2ac3b82b::q147,d48004913a13,What record does Crash break ?,Minor league record for career home runsMinor league home runs,skipping record,auto,llama3,ml,8,518.895149230957,294.4364547729492,0.0037370191421359777,283.3824760164134,283.3912209898699,30,4769,15,0,0.24338503181934357,,
1765934583339,pubmedqa,pubmedqa,,19065267::q116,865be628ea89,Is IP-10 a better biomarker for active and latent tuberculosis in children than IFNgamma?,"IP-10 is a biomarker for tuberculosis in children. However like IFNgamma, IP-10 also does not distinguish between active TB and LTBI.","unknown (based on the provided context, no significant difference was found between stimulated levels of IP-10 in active TB and latent TB infection compared to IFN-gamma)",auto,mistral,ml,8,16.27182960510254,251.26242637634277,0.004130997695028782,238.64405800122768,238.65474900230765,89,1081,170,0,0.7416738271713257,,
